2026-07-01 11:10:34 | INFO     | main:3 | 🎬 [WORKER] Hệ thống Logger toàn cục theo phiên đã kích hoạt!
2026-07-01 11:10:38 | DEBUG    | __init__:350 | matplotlib data path: C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\mpl-data
2026-07-01 11:10:38 | DEBUG    | __init__:350 | CONFIGDIR=C:\Users\Admin\.matplotlib
2026-07-01 11:10:38 | DEBUG    | __init__:1511 | interactive is False
2026-07-01 11:10:38 | DEBUG    | __init__:1512 | platform is win32
2026-07-01 11:10:38 | DEBUG    | __init__:350 | CACHEDIR=C:\Users\Admin\.matplotlib
2026-07-01 11:10:38 | DEBUG    | font_manager:1574 | Using fontManager instance from C:\Users\Admin\.matplotlib\fontlist-v330.json
2026-07-01 11:10:41 | DEBUG    | loader:96 | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2026-07-01 11:10:41 | INFO     | loader:132 | Loading faiss with AVX2 support.
2026-07-01 11:10:41 | INFO     | loader:137 | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-07-01 11:10:41 | INFO     | loader:156 | Loading faiss.
2026-07-01 11:10:41 | INFO     | loader:158 | Successfully loaded faiss.
2026-07-01 11:10:41 | INFO     | main:3 | 🎬 [WORKER] Hệ thống Logger toàn cục theo phiên đã kích hoạt!
2026-07-01 11:10:45 | DEBUG    | __init__:350 | matplotlib data path: C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\mpl-data
2026-07-01 11:10:45 | DEBUG    | __init__:350 | CONFIGDIR=C:\Users\Admin\.matplotlib
2026-07-01 11:10:45 | DEBUG    | __init__:1511 | interactive is False
2026-07-01 11:10:45 | DEBUG    | __init__:1512 | platform is win32
2026-07-01 11:10:45 | DEBUG    | __init__:350 | CACHEDIR=C:\Users\Admin\.matplotlib
2026-07-01 11:10:45 | DEBUG    | font_manager:1574 | Using fontManager instance from C:\Users\Admin\.matplotlib\fontlist-v330.json
2026-07-01 11:10:47 | DEBUG    | loader:96 | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2026-07-01 11:10:47 | INFO     | loader:132 | Loading faiss with AVX2 support.
2026-07-01 11:10:47 | INFO     | loader:137 | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-07-01 11:10:47 | INFO     | loader:156 | Loading faiss.
2026-07-01 11:10:47 | INFO     | loader:158 | Successfully loaded faiss.
2026-07-01 11:10:49 | INFO     | main:63 | 
=======================================================
